Year,Gold Prices ($),Inflation Rate (%),Interest Rate (%),Exchange Rates (USD/AZN)
2012,1657.5,1.0662,5.229166666666667,0.7846363636363637
2013,1204.5,2.4157,4.770833333333333,0.7836666666666666
2014,1206.0,1.3734,4.104166666666667,0.7846666666666667
2015,1060.0,4.0277,3.25,1.0675083333333333
2016,1145.9,12.4434,9.375,1.6065250000000002
2017,1291.0,12.9359,15.0,1.7234916666666666
2018,1279.0,2.2685,10.923076923076923,1.701225
2019,1514.75,2.6106,8.458333333333334,1.7025
2020,1887.6,2.7598,7.166666666666667,1.7035416666666665
2021,1805.85,6.6503,6.555555555555555,1.7048333333333334
2022,1813.75,13.8523,7.791666666666667,1.705925
