"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2024","1.7000","1.7000","1.7000","1.7000","","0.00%"
"02/01/2024","1.7000","1.7000","1.7000","1.7000","","0.00%"
"01/01/2024","1.7000","1.7000","1.7000","1.7000","","0.00%"
"12/01/2023","1.7000","1.7000","1.7000","1.7000","","0.00%"
"11/01/2023","1.7000","1.7000","1.7000","1.7000","","0.00%"
"10/01/2023","1.7000","1.7000","1.7000","1.7000","","0.00%"
"09/01/2023","1.7000","1.7000","1.7000","1.7000","","0.00%"
"08/01/2023","1.7000","1.7000","1.7000","1.7000","","0.00%"
"07/01/2023","1.7000","1.7000","1.7000","1.7000","","0.00%"
"06/01/2023","1.7000","1.7000","1.7000","1.7000","","0.00%"
"05/01/2023","1.7000","1.7105","1.7500","1.6992","","-0.62%"
"04/01/2023","1.7105","1.7105","1.7107","1.6985","","0.62%"
"03/01/2023","1.7000","1.7000","1.7107","1.6992","","-0.63%"
"02/01/2023","1.7107","1.7000","1.7107","1.6990","","0.63%"
"01/01/2023","1.7000","1.7000","1.7107","1.6985","","0.00%"
"12/01/2022","1.7000","1.7000","1.7107","1.6992","","0.00%"
"11/01/2022","1.7000","1.6990","1.7107","1.6975","","-0.60%"
"10/01/2022","1.7103","1.6990","1.7107","1.6975","","-0.03%"
"09/01/2022","1.7107","1.6990","1.7107","1.6983","","0.01%"
"08/01/2022","1.7105","1.6990","1.7107","1.6975","","0.00%"
"07/01/2022","1.7105","1.6990","1.7107","1.6975","","-0.01%"
"06/01/2022","1.7107","1.6990","1.7107","1.6975","","0.00%"
"05/01/2022","1.7107","1.7107","1.7107","1.6983","","0.69%"
"04/01/2022","1.6990","1.6990","1.7107","1.6983","","0.00%"
"03/01/2022","1.6990","1.6990","1.7107","1.6976","","0.00%"
"02/01/2022","1.6990","1.6990","1.7107","1.6980","","-0.69%"
"01/01/2022","1.7107","1.7105","1.7107","1.6983","","0.69%"
"12/01/2021","1.6990","1.6990","1.7107","1.6983","","0.00%"
"11/01/2021","1.6990","1.6990","1.7107","1.6983","","-0.68%"
"10/01/2021","1.7105","1.6990","1.7107","1.6975","","0.68%"
"09/01/2021","1.6990","1.6990","1.7107","1.6975","","-0.69%"
"08/01/2021","1.7107","1.7107","1.7107","1.6977","","0.00%"
"07/01/2021","1.7107","1.6990","1.7112","1.6975","","0.69%"
"06/01/2021","1.6990","1.7107","1.7107","1.6975","","-0.69%"
"05/01/2021","1.7107","1.7107","1.7107","1.6971","","0.69%"
"04/01/2021","1.6990","1.6990","1.7107","1.6975","","0.00%"
"03/01/2021","1.6990","1.6990","1.7107","1.6975","","-0.69%"
"02/01/2021","1.7107","1.6990","1.7107","1.6959","","0.00%"
"01/01/2021","1.7107","1.6990","1.7107","1.6975","","0.69%"
"12/01/2020","1.6990","1.6990","1.7107","1.6975","","0.00%"
"11/01/2020","1.6990","1.7107","1.7107","1.6975","","-0.69%"
